Targets,K-Steering,CAA,DCT
"Appeal to Precedent, Empirical Grounding, Moral Framing",0.08756814,0.12215585,0.05422607
"Appeal to Precedent, Empirical Grounding, Refutation by Distinction",0.27903998,0.013015787,0.2001553
"Appeal to Precedent, Empirical Grounding, Straw Man Reframing",0.10424191,-0.057863615,0.050663725
"Appeal to Precedent, Moral Framing, Refutation by Distinction",0.06985214,-0.01266538,0.043101043
"Appeal to Precedent, Moral Framing, Straw Man Reframing",0.05521591,-0.0011286131,0.016618669
"Appeal to Precedent, Refutation by Distinction, Straw Man Reframing",0.17144288,0.17024264,0.21872619
"Empirical Grounding, Moral Framing, Refutation by Distinction",0.20763211,0.06503726,0.11296156
"Empirical Grounding, Moral Framing, Straw Man Reframing",0.095228754,0.01936975,0.043340564
"Empirical Grounding, Refutation by Distinction, Straw Man Reframing",0.14217949,0.050131205,0.05587095
"Moral Framing, Refutation by Distinction, Straw Man Reframing",0.05521492,-0.020367865,0.076028556
