Targets,alpha_grad,alpha_caa,alpha_dct,best_k_layer,best_caa_layer
"('casual', 'cautious', 'concise')",27.089453125,0.7874664306640624,200.08046875000002,27,26
"('casual', 'cautious', 'empathetic')",48.08125,1.1624481201171875,312.06953125,27,26
"('casual', 'cautious', 'expert')",24.090625,0.5374786376953125,224.078125,27,26
"('casual', 'concise', 'empathetic')",66.07421875,1.1624481201171875,156.08476562500002,27,26
"('casual', 'concise', 'expert')",33.087109375,0.724969482421875,128.0875,27,26
"('casual', 'empathetic', 'expert')",80.06875,1.224945068359375,184.08203125,27,26
"('cautious', 'concise', 'empathetic')",70.07265625000001,0.6624725341796875,352.065625,27,26
"('cautious', 'concise', 'expert')",33.087109375,0.474981689453125,224.078125,27,26
"('cautious', 'empathetic', 'expert')",78.06953125,0.4124847412109375,400.0609375,27,26
"('concise', 'empathetic', 'expert')",72.071875,0.474981689453125,176.08281250000002,27,26
